기준년월,지자체,KTO업종중분류명,소비액(천원)
202301,서울특별시,관광총소비,2.3370824E8
202301,서울특별시,호텔,2.9905142E7
202301,서울특별시,콘도,98555.0
202301,서울특별시,캠핑장/펜션,69054.0
202301,서울특별시,기타숙박,5610082.0
202301,서울특별시,여행업,282800.0
202301,서울특별시,육상운송,7055520.0
202301,서울특별시,수상운송,12632.0
202301,서울특별시,항공운송,930417.0
202301,서울특별시,렌터카,76121.0
202301,서울특별시,면세점,8271747.0
202301,서울특별시,기타관광쇼핑,3.7349053E7
202301,서울특별시,레저용품쇼핑,3960807.0
202301,서울특별시,대형쇼핑몰,5.5283762E7
202301,서울특별시,카지노,2.5081844E7
202301,서울특별시,관광유원시설,7565.0
202301,서울특별시,골프장,59419.0
202301,서울특별시,기타레저,933774.0
202301,서울특별시,문화서비스,482017.0
202301,서울특별시,의료관광,1.9772411E7
202301,서울특별시,뷰티,8261474.0
202301,서울특별시,일반외식업,2.5343288E7
202301,서울특별시,제과음료업,4860758.0
202301,부산광역시,관광총소비,2.299114E7
202301,부산광역시,호텔,1656357.0
202301,부산광역시,캠핑장/펜션,1846.0
202301,부산광역시,기타숙박,916042.0
202301,부산광역시,여행업,366.0
202301,부산광역시,육상운송,140299.0
202301,부산광역시,수상운송,7894.0
202301,부산광역시,항공운송,12378.0
202301,부산광역시,렌터카,11076.0
202301,부산광역시,면세점,675268.0
202301,부산광역시,기타관광쇼핑,2218249.0
202301,부산광역시,레저용품쇼핑,114109.0
202301,부산광역시,대형쇼핑몰,7624520.0
202301,부산광역시,카지노,5864800.0
202301,부산광역시,관광유원시설,89470.0
202301,부산광역시,골프장,13664.0
202301,부산광역시,기타레저,111127.0
202301,부산광역시,문화서비스,15401.0
202301,부산광역시,의료관광,639923.0
202301,부산광역시,뷰티,680882.0
202301,부산광역시,일반외식업,1917980.0
202301,부산광역시,제과음료업,279489.0
202301,대구광역시,관광총소비,3324034.0
202301,대구광역시,호텔,502798.0
