날짜,지역,외국인 방문자수
202501,강원특별자치도,248888.0
202501,경기도,1586582.0
202501,경상남도,591775.0
202501,경상북도,258877.0
202501,광주광역시,66077.0
202501,대구광역시,120952.0
202501,대전광역시,71154.0
202501,부산광역시,752878.0
202501,서울특별시,2665409.0
202501,세종특별자치시,28392.0
202501,울산광역시,224064.0
202501,인천광역시,1402159.0
202501,전라남도,520831.0
202501,전북특별자치도,147432.0
202501,제주특별자치도,738896.0
202501,충청남도,257248.0
202501,충청북도,158778.0
202502,강원특별자치도,197800.0
202502,경기도,1421927.0
202502,경상남도,517737.0
202502,경상북도,252099.0
202502,광주광역시,58162.0
202502,대구광역시,111056.0
202502,대전광역시,62757.0
202502,부산광역시,656780.0
202502,서울특별시,2386482.0
202502,세종특별자치시,27480.0
202502,울산광역시,215576.0
202502,인천광역시,1334863.0
202502,전라남도,423828.0
202502,전북특별자치도,133767.0
202502,제주특별자치도,768969.0
202502,충청남도,244164.0
202502,충청북도,144275.0
202503,강원특별자치도,187417.0
202503,경기도,1821606.0
202503,경상남도,663354.0
202503,경상북도,438581.0
202503,광주광역시,82516.0
202503,대구광역시,165480.0
202503,대전광역시,89856.0
202503,부산광역시,1034150.0
202503,서울특별시,3570478.0
202503,세종특별자치시,32330.0
202503,울산광역시,270310.0
202503,인천광역시,1933621.0
202503,전라남도,557197.0
202503,전북특별자치도,209875.0
202503,제주특별자치도,920572.0
202503,충청남도,361085.0
202503,충청북도,224059.0
202504,강원특별자치도,328146.0
202504,경기도,2143703.0
202504,경상남도,713677.0
202504,경상북도,547013.0
202504,광주광역시,94289.0
202504,대구광역시,190951.0
202504,대전광역시,97016.0
202504,부산광역시,1282258.0
202504,서울특별시,4190106.0
202504,세종특별자치시,31973.0
202504,울산광역시,274057.0
202504,인천광역시,2217972.0
202504,전라남도,656172.0
202504,전북특별자치도,276612.0
202504,제주특별자치도,1156869.0
202504,충청남도,418540.0
202504,충청북도,272700.0
202505,강원특별자치도,330275.0
202505,경기도,2138585.0
202505,경상남도,740264.0
202505,경상북도,576018.0
202505,광주광역시,98363.0
202505,대구광역시,197946.0
202505,대전광역시,98224.0
202505,부산광역시,1279653.0
202505,서울특별시,4175491.0
202505,세종특별자치시,33037.0
202505,울산광역시,269160.0
202505,인천광역시,2133133.0
202505,전라남도,722592.0
202505,전북특별자치도,292129.0
202505,제주특별자치도,1431659.0
202505,충청남도,411090.0
202505,충청북도,280761.0
202506,강원특별자치도,335323.0
202506,경기도,2170206.0
202506,경상남도,696323.0
202506,경상북도,498360.0
202506,광주광역시,91525.0
202506,대구광역시,179766.0
202506,대전광역시,91412.0
202506,부산광역시,1205348.0
202506,서울특별시,4170480.0
202506,세종특별자치시,35605.0
202506,울산광역시,298481.0
202506,인천광역시,2147523.0
202506,전라남도,715249.0
202506,전북특별자치도,267107.0
202506,제주특별자치도,1367357.0
202506,충청남도,378634.0
202506,충청북도,253224.0
202507,강원특별자치도,353097.0
202507,경기도,2650507.0
202507,경상남도,852885.0
202507,경상북도,531200.0
202507,광주광역시,108483.0
202507,대구광역시,245848.0
202507,대전광역시,117277.0
202507,부산광역시,1653914.0
202507,서울특별시,4781449.0
202507,세종특별자치시,87784.0
202507,울산광역시,386997.0
202507,인천광역시,2807118.0
202507,전라남도,833703.0
202507,전북특별자치도,272860.0
202507,제주특별자치도,1857932.0
202507,충청남도,440996.0
202507,충청북도,343138.0
202508,강원특별자치도,260102.0
202508,경기도,2195498.0
202508,경상남도,742188.0
202508,경상북도,454401.0
202508,광주광역시,97993.0
202508,대구광역시,216590.0
202508,대전광역시,105273.0
202508,부산광역시,1364638.0
202508,서울특별시,3997109.0
202508,세종특별자치시,42764.0
202508,울산광역시,321701.0
202508,인천광역시,2169473.0
202508,전라남도,698671.0
202508,전북특별자치도,220621.0
202508,제주특별자치도,1625049.0
202508,충청남도,399117.0
202508,충청북도,258732.0
202509,강원특별자치도,227229.0
202509,경기도,2009029.0
202509,경상남도,717011.0
202509,경상북도,493537.0
202509,광주광역시,102792.0
202509,대구광역시,199376.0
202509,대전광역시,128692.0
202509,부산광역시,1285642.0
202509,서울특별시,4080530.0
202509,세종특별자치시,41375.0
202509,울산광역시,290923.0
202509,인천광역시,2083656.0
202509,전라남도,645535.0
202509,전북특별자치도,228688.0
202509,제주특별자치도,1360103.0
202509,충청남도,412340.0
202509,충청북도,286119.0
202510,강원특별자치도,313881.0
202510,경기도,2218810.0
202510,경상남도,879966.0
202510,경상북도,587371.0
202510,광주광역시,102192.0
202510,대구광역시,221794.0
202510,대전광역시,131806.0
202510,부산광역시,1524020.0
202510,서울특별시,4724138.0
202510,세종특별자치시,44669.0
202510,울산광역시,309567.0
202510,인천광역시,2319960.0
202510,전라남도,596081.0
202510,전북특별자치도,247189.0
202510,제주특별자치도,1333676.0
202510,충청남도,433448.0
202510,충청북도,312609.0
202511,강원특별자치도,252131.0
202511,경기도,2042504.0
202511,경상남도,831001.0
202511,경상북도,501421.0
202511,광주광역시,94820.0
202511,대구광역시,195336.0
202511,대전광역시,112409.0
202511,부산광역시,1418695.0
202511,서울특별시,4499486.0
202511,세종특별자치시,38725.0
202511,울산광역시,293819.0
202511,인천광역시,2275186.0
202511,전라남도,617900.0
202511,전북특별자치도,226841.0
202511,제주특별자치도,1011727.0
202511,충청남도,379444.0
202511,충청북도,265796.0
202512,강원특별자치도,327455.0
202512,경기도,1981461.0
