날짜,지역,외국인 방문자수
202401,강원특별자치도,287002.0
202401,경기도,1656372.0
202401,경상남도,534978.0
202401,경상북도,253337.0
202401,광주광역시,62043.0
202401,대구광역시,118060.0
202401,대전광역시,63118.0
202401,부산광역시,610177.0
202401,서울특별시,2698724.0
202401,세종특별자치시,23421.0
202401,울산광역시,217760.0
202401,인천광역시,1471401.0
202401,전라남도,570830.0
202401,전북특별자치도,156615.0
202401,제주특별자치도,748186.0
202401,충청남도,271955.0
202401,충청북도,167867.0
202402,강원특별자치도,253974.0
202402,경기도,1756810.0
202402,경상남도,531251.0
202402,경상북도,271708.0
202402,광주광역시,61068.0
202402,대구광역시,124580.0
202402,대전광역시,67771.0
202402,부산광역시,681974.0
202402,서울특별시,2842766.0
202402,세종특별자치시,23304.0
202402,울산광역시,232107.0
202402,인천광역시,1486281.0
202402,전라남도,489895.0
202402,전북특별자치도,147933.0
202402,제주특별자치도,786234.0
202402,충청남도,279426.0
202402,충청북도,174352.0
202403,강원특별자치도,207427.0
202403,경기도,1961716.0
202403,경상남도,657722.0
202403,경상북도,353806.0
202403,광주광역시,81981.0
202403,대구광역시,164731.0
202403,대전광역시,85696.0
202403,부산광역시,945181.0
202403,서울특별시,3668370.0
202403,세종특별자치시,26860.0
202403,울산광역시,294022.0
202403,인천광역시,2061225.0
202403,전라남도,565116.0
202403,전북특별자치도,195923.0
202403,제주특별자치도,940890.0
202403,충청남도,366497.0
202403,충청북도,206775.0
202404,강원특별자치도,287107.0
202404,경기도,2001641.0
202404,경상남도,707812.0
202404,경상북도,406161.0
202404,광주광역시,84081.0
202404,대구광역시,166075.0
202404,대전광역시,89221.0
202404,부산광역시,1063346.0
202404,서울특별시,3887721.0
202404,세종특별자치시,28467.0
202404,울산광역시,301463.0
202404,인천광역시,2067985.0
202404,전라남도,581211.0
202404,전북특별자치도,221306.0
202404,제주특별자치도,1036234.0
202404,충청남도,364603.0
202404,충청북도,233049.0
202405,강원특별자치도,296436.0
202405,경기도,1795678.0
202405,경상남도,680238.0
202405,경상북도,419179.0
202405,광주광역시,79208.0
202405,대구광역시,168834.0
202405,대전광역시,82010.0
202405,부산광역시,992272.0
202405,서울특별시,3444704.0
202405,세종특별자치시,28534.0
