연령대,남성,여성,남성(비율),여성(비율)
61세 이상,1333287.0,1457911.0,6.0,6.5
51~60세,1583709.0,2031736.0,7.1,9.1
41~50세,1823866.0,2089442.0,8.1,9.3
31~40세,1393641.0,2127880.0,6.2,9.5
21~30세,1398273.0,4821996.0,6.2,21.5
20세 이하,616204.0,1712157.0,2.8,7.6
