교통수단,방한 외래관광객(명),비중(%)
기타항구,133753.0,0.6
제주항구,54686.0,0.2
인천항구,2129.0,0.0
부산항구,864801.0,3.8
기타공항,206562.0,0.9
제주공항,255645.0,1.1
김포공항,4949288.0,21.9
김해공항,2610371.0,11.5
인천공항,1.3526639E7,59.8
