교통수단,방한 외래관광객(명),비중(%)
기타항구,13382.0,4.4
제주항구,1470.0,0.5
인천항구,2080.0,0.7
부산항구,6212.0,2.0
기타공항,621.0,0.2
제주공항,607.0,0.2
김포공항,6549.0,2.1
김해공항,5281.0,1.7
인천공항,269539.0,88.2
