기준년월,순위,값(%)
2022,1위,Etstur(25.4%)
2022,2위,Tatilsepeti(16.6%)
2022,3위,Tatilbudur(14.4%)
2022,4위,Jollytur(12.8%)
2022,5위,Enuygun(11.4%)
2023,1위,Etstur(17.6%)
2023,2위,Ucuzabilet(15%)
2023,3위,Enuygun(11.2%)
2023,4위,Tatilsepeti(10.6%)
2023,5위,Jollytur(9.2%)
2024,1위,Booking.com(15.5%)
2024,2위,tatil.com(10.8%)
2024,3위,Etstur(9.9%)
2024,4위,Hotel.com(9%)
2024,5위,Tatilbudur(8%)
