연령대,남성,여성,남성(비율),여성(비율)
61세 이상,5944.0,5822.0,3.0,2.9
51~60세,12808.0,8080.0,6.4,4.0
41~50세,27558.0,11088.0,13.8,5.5
31~40세,39691.0,19054.0,19.8,9.5
21~30세,27644.0,27689.0,13.8,13.8
20세 이하,5919.0,8869.0,3.0,4.4
