기준년월,순위,값(%)
2022,1위,YouTube(40.2%)
2022,2위,Instagram(20.4%)
2022,3위,Facebook(8.8%)
2022,4위,Twitter(X)(8.2%)
2022,5위,WhatsApp(6.8%)
2023,1위,YouTube(36%)
2023,2위,Instagram(25.8%)
2023,3위,Facebook(13.6%)
2023,4위,Twitter(X)(6.2%)
2023,5위,WhatsApp(4.6%)
2024,1위,YouTube(31.6%)
2024,2위,Instagram(18.1%)
2024,3위,Netflix(9.9%)
2024,4위,Twitter(X)(6.2%)
2024,5위,WhatsApp(5.6%)
