교통수단,방한 외래관광객(명),비중(%)
기타항구,182.0,0.1
제주항구,42.0,0.0
인천항구,15.0,0.0
부산항구,124.0,0.1
기타공항,826.0,0.6
제주공항,541.0,0.4
김포공항,2690.0,2.1
김해공항,1651.0,1.3
인천공항,123918.0,95.3
