기준년월,순위,값(%)
2022,1위,Booking.com(32.4%)
2022,2위,Saudia Holidays(12.4%)
2022,3위,Flyin(9%)
2022,4위,Wego(8.2%)
2022,5위,Almosafer(7.6%)
2023,1위,Booking.com(21.4%)
2023,2위,Wego(8.8%)
2023,3위,Saudia Holidays(8.4%)
2023,4위,Almosafer(6.2%)
2023,5위,Flyin(5.8%)
2024,1위,Booking.com(19.6%)
2024,2위,Almosafer(8.8%)
2024,3위,Wego(8%)
2024,4위,Flyin=flynas(6%)
2024,5위,Saudia Holidays(5.8%)
