연령대,남성,여성,남성(비율),여성(비율)
61세 이상,2094.0,1074.0,1.7,0.8
51~60세,5968.0,3287.0,4.7,2.6
41~50세,11030.0,4057.0,8.7,3.2
31~40세,24169.0,11532.0,19.1,9.1
21~30세,22673.0,18881.0,17.9,14.9
20세 이하,10327.0,11483.0,8.2,9.1
