교통수단,방한 외래관광객(명),비중(%)
기타항구,52616.0,0.6
제주항구,21093.0,0.2
인천항구,3221.0,0.0
부산항구,83179.0,0.9
기타공항,500788.0,5.4
제주공항,562926.0,6.1
김포공항,620481.0,6.7
김해공항,1941204.0,21.0
인천공항,5437289.0,59.0
