기준년월,순위,값(%)
2022,1위,YouTube(43.8%)
2022,2위,Instagram(17.5%)
2022,3위,Facebook(16.3%)
2022,4위,Line(11.3%)
2022,5위,Facebook Messenger(3.5%)
2023,1위,YouTube(43.6%)
2023,2위,Instagram(15%)
2023,3위,Facebook(14.9%)
2023,4위,Line(8.8%)
2023,5위,활용 계획 없음(5.1%)
2024,1위,YouTube(30.5%)
2024,2위,Instagram(15.1%)
2024,3위,Facebook(12.3%)
2024,4위,Line(10.5%)
2024,5위,Netflix(8.8%)
