연령대,남성,여성,남성(비율),여성(비율)
61세 이상,280665.0,483434.0,3.1,5.3
51~60세,373549.0,709828.0,4.1,7.8
41~50세,596439.0,1155999.0,6.5,12.6
31~40세,709453.0,1489965.0,7.7,16.3
21~30세,564085.0,1565058.0,6.2,17.1
20세 이하,498435.0,727543.0,5.4,7.9
