교통수단,방한 외래관광객(명),비중(%)
기타항구,3662.0,0.2
제주항구,1987.0,0.1
인천항구,1485.0,0.1
부산항구,9663.0,0.4
기타공항,1317.0,0.1
제주공항,135207.0,5.7
김포공항,21957.0,0.9
김해공항,103270.0,4.3
인천공항,2111045.0,88.3
