기준년월,순위,값(%)
2022,1위,Traveloka(50.4%)
2022,2위,Ticket.com(16.2%)
2022,3위,Trivago(6.8%)
2022,4위,Booking.com(6.6%)
2022,5위,Agoda(5.2%)
2023,1위,Traveloka(47%)
2023,2위,Ticket.com(16%)
2023,3위,Agoda(8.6%)
2023,4위,Booking.com=Trivago(4%)
2023,5위,TripAdvisor(3.4%)
2024,1위,Traveloka(42.4%)
2024,2위,Tiket.com(19.4%)
2024,3위,Agoda(11%)
2024,4위,Booking.com(5.2%)
2024,5위,Airbnb(3.2%)
