연령대,남성,여성,남성(비율),여성(비율)
61세 이상,41136.0,56837.0,2.5,3.4
51~60세,79110.0,99177.0,4.7,5.9
41~50세,145818.0,146051.0,8.7,8.7
31~40세,240314.0,184299.0,14.4,11.0
21~30세,257557.0,211639.0,15.4,12.7
20세 이하,91277.0,118305.0,5.5,7.1
