기준년월,순위,값(%)
2022,1위,YouTube(22.8%)
2022,2위,Instagram(13.8%)
2022,3위,Facebook(12.2%)
2022,4위,TikTok(10.6%)
2022,5위,활용 계획 없음(8%)
2023,1위,YouTube(25.6%)
2023,2위,Instagram(17.2%)
2023,3위,활용 계획 없음(13.4%)
2023,4위,Facebook(10.8%)
2023,5위,TikTok(8%)
2024,1위,YouTube(23.9%)
2024,2위,Instagram(12.5%)
2024,3위,활용 계획 없음(9.9%)
2024,4위,TikTok(9.7%)
2024,5위,Facebook(9.2%)
