교통수단,방한 외래관광객(명),비중(%)
기타항구,12629.0,1.1
제주항구,28253.0,2.4
인천항구,11921.0,1.0
부산항구,75617.0,6.4
기타공항,3603.0,0.3
제주공항,15350.0,1.3
김포공항,47927.0,4.1
김해공항,64760.0,5.5
인천공항,914038.0,77.9
