연령대,남성,여성,남성(비율),여성(비율)
61세 이상,94676.0,65930.0,8.7,6.1
51~60세,123668.0,59654.0,11.4,5.5
41~50세,128069.0,54213.0,11.8,5.0
31~40세,147902.0,80285.0,13.6,7.4
21~30세,123640.0,118077.0,11.4,10.9
20세 이하,42992.0,48069.0,4.0,4.4
