교통수단,방한 외래관광객(명),비중(%)
기타항구,9306.0,0.4
제주항구,9578.0,0.4
인천항구,2238.0,0.1
부산항구,12736.0,0.5
기타공항,2256.0,0.1
제주공항,132954.0,5.0
김포공항,11989.0,0.5
김해공항,250323.0,9.5
인천공항,2215726.0,83.7
