기준년월,순위,값(%)
2022,1위,YouTube(34.8%)
2022,2위,Facebook(25.6%)
2022,3위,Instagram(9.6%)
2022,4위,TikTok(8.2%)
2022,5위,WhatsApp(7.8%)
2023,1위,YouTube(28.2%)
2023,2위,Facebook(24.6%)
2023,3위,Instagram(14.6%)
2023,4위,TikTok(10.2%)
2023,5위,WhatsApp(7.6%)
2024,1위,YouTube(24.9%)
2024,2위,Facebook(20.9%)
2024,3위,TikTok(14.2%)
2024,4위,Instagram(10.5%)
2024,5위,Netflix(7.1%)
