연령대,남성,여성,남성(비율),여성(비율)
61세 이상,74183.0,104032.0,3.0,4.3
51~60세,115871.0,178490.0,4.7,7.3
41~50세,167441.0,227192.0,6.9,9.3
31~40세,235246.0,331828.0,9.6,13.6
21~30세,233135.0,427538.0,9.6,17.5
20세 이하,153468.0,192408.0,6.3,7.9
