기준년월,순위,값(%)
2022,1위,Booking.com(33.6%)
2022,2위,Trivago(14.6%)
2022,3위,Airbnb(8.6%)
2022,4위,Wego(8.4%)
2022,5위,Cleartrip(8.2%)
2023,1위,Booking.com(18.8%)
2023,2위,Trivago(9.4%)
2023,3위,Expedia=MakeMyTrip(6.4%)
2023,4위,Airbnb(6%)
2023,5위,Cleartrip=Wego(5.6%)
2024,1위,Booking.com(17.2%)
2024,2위, emirates.com(11.4%)
2024,3위,Expedia(8.2%)
2024,4위,flydubai=etihad(6.5%)
2024,5위,Wego=Trivago=MakeMyTrip(6.2%)
