기준년월,순위,값(%)
2022,1위,YouTube(33%)
2022,2위,Facebook(19%)
2022,3위,Instagram(13.8%)
2022,4위,TikTok(10.2%)
2022,5위,Facebook Messenger(5.8%)
2023,1위,YouTube(29.6%)
2023,2위,Facebook(17.6%)
2023,3위,TikTok(13.6%)
2023,4위,Instagram(12.4%)
2023,5위,LinkedIn(4.8%)
2024,1위,YouTube(21.7%)
2024,2위,Instagram(15.1%)
2024,3위,TikTok(13.5%)
2024,4위,Facebook(13.1%)
2024,5위,Netflix(7.3%)
