연령대,남성,여성,남성(비율),여성(비율)
61세 이상,1607.0,1381.0,1.9,1.6
51~60세,3224.0,3061.0,3.8,3.6
41~50세,7666.0,5337.0,9.0,6.3
31~40세,12453.0,8682.0,14.6,10.2
21~30세,11805.0,10378.0,13.9,12.2
20세 이하,9505.0,10046.0,11.2,11.8
