기준년월,순위,값(%)
2022,1위,Kaspi Travel(20.8%)
2022,2위,AirAstana(18.4%)
2022,3위,Booking.com(11.2%)
2022,4위,Aviasales(9.8%)
2022,5위,Aviata (Авиата)(9.6%)
2023,1위,Kaspi Travel(14.2%)
2023,2위,Booking.com(12.8%)
2023,3위,Aviata (Авиата)(11%)
2023,4위,AirAstana(9.4%)
2023,5위,Aviasales(8.4%)
2024,1위,Kaspi Travel(28.4%)
2024,2위,Aviasales(16.3%)
2024,3위,AirAstana(14.8%)
2024,4위,Aviata (Авиата)(10.3%)
2024,5위,Booking.com(7.7%)
