연령대,남성,여성,남성(비율),여성(비율)
61세 이상,11256.0,19913.0,2.8,5.0
51~60세,16117.0,26384.0,4.0,6.6
41~50세,28689.0,36127.0,7.2,9.1
31~40세,44425.0,45267.0,11.1,11.3
21~30세,47064.0,59853.0,11.8,15.0
20세 이하,30602.0,33400.0,7.7,8.4
