기준년월,순위,값(%)
2022,1위,YouTube(32.4%)
2022,2위,Instagram(22.8%)
2022,3위,Facebbok(12.2%)
2022,4위,TikTok(9%)
2022,5위,VK(6.8%)
2023,1위,YouTube(33%)
2023,2위,TikTok(14.8%)
2023,3위,Instagram(12.4%)
2023,4위,WhatsApp(10.2%)
2023,5위,Telegram(7.6%)
2024,1위,YouTube(32%)
2024,2위,Instagram(19.4%)
2024,3위,TikTok(13.5%)
2024,4위,WhatsApp(6.7%)
2024,5위,Telegram(6.5%)
