연령대,남성,여성,남성(비율),여성(비율)
61세 이상,2184405.0,2257758.0,5.4,5.6
51~60세,2124774.0,2858070.0,5.3,7.1
41~50세,2574513.0,3073187.0,6.4,7.6
31~40세,3799186.0,6189284.0,9.4,15.3
21~30세,3268436.0,8644537.0,8.1,21.4
20세 이하,1348797.0,2083993.0,3.3,5.2
