교통수단,방한 외래관광객(명),비중(%)
기타항구,2961534.0,7.0
제주항구,2583087.0,6.1
인천항구,2508239.0,5.9
부산항구,743961.0,1.8
기타공항,997606.0,2.4
제주공항,6174571.0,14.6
김포공항,1816543.0,4.3
김해공항,1255478.0,3.0
인천공항,2.3180428E7,54.9
