기준년월,순위,값(%)
2022,1위,Douyin(22.6%)
2022,2위,Xiaohongshu(14.8%)
2022,3위,BILIBILI(11.3%)
2022,4위,ZHIHU(知乎)(11.2%)
2022,5위,Kuaishou(快手)(7.9%)
2023,1위,Douyin(27.7%)
2023,2위,BILIBILI(12.7%)
2023,3위,Xiaohongshu(9.2%)
2023,4위,Kuaishou(快手)=활용 계획 없음(6.4%)
2023,5위,IQIYI(6%)
2024,1위,Douyin(21.3%)
2024,2위,Xiaohongshu(12.4%)
2024,3위,BILIBILI(10.7%)
2024,4위,IQIYI(6.7%)
2024,5위,Tencent Video(5.6%)
