기준년월,순위,값(%)
2022,1위,Ctrip(携程)(28.1%)
2022,2위,同程旅游(11.3%)
2022,3위,Qunar(9.5%)
2022,4위,dianping(8.9%)
2022,5위,Fliggy(8.6%)
2023,1위,Ctrip(携程)(32.5%)
2023,2위,Fliggy(9%)
2023,3위,활용 계획 없음(8.2%)
2023,4위,Qunar(7.6%)
2023,5위,同程旅游(7.4%)
2024,1위,Ctrip(携程)(23.7%)
2024,2위,Meituan(8.4%)
2024,3위,同程旅游(7.5%)
2024,4위,Fliggy(7.2%)
2024,5위,Qunar(6.2%)
