연령대,남성,여성,남성(비율),여성(비율)
61세 이상,22206.0,9296.0,3.0,1.3
51~60세,55134.0,13289.0,7.5,1.8
41~50세,132213.0,20984.0,18.0,2.9
31~40세,216838.0,44081.0,29.5,6.0
21~30세,134557.0,43441.0,18.3,5.9
20세 이하,21867.0,21659.0,3.0,2.9
