기준년월,순위,값(%)
2022,1위,YouTube(37.8%)
2022,2위,Instagram(20.6%)
2022,3위,Facebook(11%)
2022,4위,WhatsApp(10.4%)
2022,5위,Twitter(X)(6.2%)
2023,1위,YouTube(34.8%)
2023,2위,Instagram(22.8%)
2023,3위,Facebook(13.6%)
2023,4위,WhatsApp(10%)
2023,5위,Twitter(X)(5%)
2024,1위,YouTube(24.7%)
2024,2위,Instagram(17.6%)
2024,3위,Netflix(11.2%)
2024,4위,WhatsApp(9.5%)
2024,5위,Facebook(6.9%)
