교통수단,방한 외래관광객(명),비중(%)
기타항구,58309.0,0.6
제주항구,45001.0,0.5
인천항구,26800.0,0.3
부산항구,231496.0,2.5
기타공항,104617.0,1.1
제주공항,58145.0,0.6
김포공항,336314.0,3.6
김해공항,308192.0,3.3
인천공항,8203689.0,87.5
