기준년월,순위,값(%)
2022,1위,YouTube(19.5%)
2022,2위,Facebook(15.9%)
2022,3위,Instagram(11.9%)
2022,4위,TikTok(10.1%)
2022,5위,Facebook Messenger(8.2%)
2023,1위,YouTube(29.8%)
2023,2위,Facebook(14.4%)
2023,3위,Instagram(11.7%)
2023,4위,활용 계획 없음(10.5%)
2023,5위,TikTok(9.3%)
2024,1위,YouTube(21%)
2024,2위,Instagram=TikTok(10.9%)
2024,3위,Facebook(8.8%)
2024,4위,Netflix(7.8%)
2024,5위,Twitter(X)(5.8%)
