연령대,남성,여성,남성(비율),여성(비율)
61세 이상,768475.0,746303.0,9.0,8.7
51~60세,852292.0,688373.0,10.0,8.1
41~50세,813042.0,583873.0,9.5,6.8
31~40세,826898.0,630224.0,9.7,7.4
21~30세,674046.0,787264.0,7.9,9.2
20세 이하,567169.0,599228.0,6.6,7.0
