기준년월,순위,값(%)
2022,1위,YouTube(39.2%)
2022,2위,Facebook(30.4%)
2022,3위,Instagram(12.8%)
2022,4위,TikTok(7.2%)
2022,5위,Facebook Messenger(3.4%)
2023,1위,YouTube(35%)
2023,2위,Facebook(30.2%)
2023,3위,Instagram(11%)
2023,4위,TikTok(9.6%)
2023,5위,Facebook Messenger(5%)
2024,1위,YouTube(31.4%)
2024,2위,Facebook(26.5%)
2024,3위,TikTok(12.3%)
2024,4위,Netflix(6.7%)
2024,5위,Instagram(6.5%)
