연령대,남성,여성,남성(비율),여성(비율)
61세 이상,56643.0,96949.0,2.4,4.2
51~60세,128899.0,136821.0,5.5,5.9
41~50세,239105.0,188812.0,10.2,8.1
31~40세,393432.0,280563.0,16.9,12.0
21~30세,296569.0,279914.0,12.7,12.0
20세 이하,103838.0,131385.0,4.5,5.6
