기준년월,순위,값(%)
2022,1위,Airbnb(19.4%)
2022,2위,Booking.com(17.2%)
2022,3위,Agoda(15%)
2022,4위,Tripadvisor(14.4%)
2022,5위,Klook(9%)
2023,1위,Philippine Airlines(28.8%)
2023,2위,Agoda(13%)
2023,3위,Booking.com(11%)
2023,4위,Airbnb(10.8%)
2023,5위,Klook(8.2%)
2024,1위,Philippine Airlines(19.1%)
2024,2위,Booking.com(12.9%)
2024,3위,Trivago(12.3%)
2024,4위,Agoda(11.6%)
2024,5위,Klook(10.1%)
