기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2017,30.4,6.9,981.2,174.2,98.6,95.9,98.3
2018,32.2,7.3,965.4,160,97.6,94.5,99.2
2019,41,6.8,807.5,141.2,98.8,95.9,97.9
2020,85.7,27.5,2479.6,114.8,85.7,100,97.9
2021,45,27.4,3794.4,115.8,100,90,100
2022,52.0,10.0,2091.3,283.3,97.7,93.1,98.9
2023,49.3,7.7,1597.6,253.2,98.2,93.5,98.2
2024,47.7, 7.2 ,1438.2,234.8,98.4,95.0,98.9
