교통수단,방한 외래관광객(명),비중(%)
기타항구,856006.0,20.0
제주항구,290939.0,6.8
인천항구,146837.0,3.4
부산항구,710551.0,16.6
기타공항,11337.0,0.3
제주공항,41095.0,1.0
김포공항,6723.0,0.2
김해공항,214060.0,5.0
인천공항,2002050.0,46.8
