연령대,남성,여성,남성(비율),여성(비율)
61세 이상,40153.0,30558.0,4.2,3.2
51~60세,78493.0,42019.0,8.2,4.4
41~50세,107094.0,47318.0,11.2,4.9
31~40세,128455.0,69427.0,13.4,7.2
21~30세,142909.0,160200.0,14.9,16.7
20세 이하,46973.0,64551.0,4.9,6.7
