교통수단,방한 외래관광객(명),비중(%)
기타항구,2900.0,0.3
제주항구,2689.0,0.3
인천항구,1653.0,0.2
부산항구,20236.0,1.9
기타공항,4026.0,0.4
제주공항,5651.0,0.5
김포공항,50109.0,4.8
김해공항,46403.0,4.4
인천공항,920644.0,87.3
