연령대,남성,여성,남성(비율),여성(비율)
61세 이상,61123.0,40877.0,6.1,4.1
51~60세,131056.0,38825.0,13.0,3.9
41~50세,143103.0,38431.0,14.2,3.8
31~40세,155841.0,65956.0,15.5,6.6
21~30세,122347.0,121444.0,12.2,12.1
20세 이하,36662.0,48608.0,3.7,4.8
