기준년월,순위,값(%)
2022,1위,YouTube(22%)
2022,2위,Facebook(14.4%)
2022,3위,Instagram(13.2%)
2022,4위,WhatsApp=TikTok(10.2%)
2022,5위,Snapchat(6.4%)
2023,1위,YouTube(29%)
2023,2위,Instagram(18.2%)
2023,3위,활용 계획 없음(11%)
2023,4위,Facebook(10.4%)
2023,5위,WhatsApp(10.2%)
2024,1위,YouTube(22.8%)
2024,2위,TikTok(14.4%)
2024,3위,Instagram(12.9%)
2024,4위,Facebook(8.8%)
2024,5위,WhatsApp(7.3%)
