연령대,남성,여성,남성(비율),여성(비율)
61세 이상,6154272.0,6785118.0,5.2,5.7
51~60세,7407593.0,8919340.0,6.2,7.5
41~50세,9335940.0,1.0103287E7,7.8,8.5
31~40세,1.1811784E7,1.476079E7,9.9,12.4
21~30세,1.0406772E7,2.1139091E7,8.7,17.7
20세 이하,4942015.0,7597311.0,4.1,6.4
