교통수단,방한 외래관광객(명),비중(%)
기타항구,5754151.0,4.4
제주항구,3591443.0,2.8
인천항구,2913172.0,2.2
부산항구,4095631.0,3.2
기타공항,2005838.0,1.5
제주공항,8070664.0,6.2
김포공항,8543463.0,6.6
김해공항,9261762.0,7.1
인천공항,8.5444737E7,65.9
