기준년월,순위,값(%)
2022,1위,YouTube(41.7%)
2022,2위,VK(13.6%)
2022,3위,Telegram(12.6%)
2022,4위,WhatsApp(9.6%)
2022,5위,TikTok(9.1%)
2023,1위,YouTube(36.8%)
2023,2위,Telegram(16%)
2023,3위,VK(13.2%)
2023,4위,Instagram(6.2%)
2023,5위,활용 계획 없음(6.1%)
2024,1위,YouTube(25.4%)
2024,2위,Telegram(15.5%)
2024,3위,Instagram(7.1%)
2024,4위,VK(6.5%)
2024,5위,TikTok(6.2%)
