연령대,남성,여성,남성(비율),여성(비율)
61세 이상,48878.0,56280.0,3.0,3.5
51~60세,106356.0,88754.0,6.6,5.5
41~50세,164289.0,124117.0,10.2,7.7
31~40세,230398.0,182141.0,14.3,11.3
21~30세,172709.0,227404.0,10.7,14.1
20세 이하,86145.0,121148.0,5.4,7.5
