기준년월,순위,값(%)
2022,1위,Ozon travel(12.1%)
2022,2위,Aviasales.ru(10.5%)
2022,3위,Tutu.ru=s7 airlines(9.2%)
2022,4위,활용 계획 없음(7.7%)
2022,5위,Travel Yandex(7.1%)
2023,1위,활용 계획 없음(13.3%)
2023,2위,Aviasales.ru(11.9%)
2023,3위,Tutu.ru(10.4%)
2023,4위,Ozon travel(9.3%)
2023,5위,s7 airlines(7.8%)
2024,1위,Tutu.ru(11.2%)
2024,2위,Aviasales.ru(10.6%)
2024,3위,Ozon travel(7.8%)
2024,4위,활용 계획 없음(6.7%)
2024,5위,Aeroflot.ru(5.7%)
