기준년월,순위,값(%)
2022,1위,Facebook(31%)
2022,2위,YouTube(30.6%)
2022,3위,TikTok(9.8%)
2022,4위,Facebook Messenger(7%)
2022,5위,Zalo(6.8%)
2023,1위,Facebook(59.4%)
2023,2위,YouTube(14.8%)
2023,3위,TikTok(8.6%)
2023,4위,Facebook Messenger(7%)
2023,5위,Instagram(3.2%)
2024,1위,YouTube(26.9%)
2024,2위,Facebook(25.8%)
2024,3위,TikTok(18.9%)
2024,4위,Zalo(5.4%)
2024,5위,Instagram(4.3%)
