기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2017,25.9,10.5,1213.5,227.6,94.4,92.2,94.9
2018,26.2,6.6,1204.4,243.5,96.4,90.5,96
2019,33.5,7.7,1275.6,212.8,96.2,91.7,95.9
2020,100,8,1659.2,207.4,100,100,95.9
2021,40,12,3974,409.2,100,100,100
2022,40.8,10.2,1743.5,247.8,99.2,96.8,99.2
2023,38.1,9.5,1351,208,98.1,93.7,98.9
2024,34.9, 8.2 ,1471.7,235.3,96.7,91.8,94.6
