연령대,남성,여성,남성(비율),여성(비율)
61세 이상,68793.0,97937.0,2.2,3.2
51~60세,135626.0,194842.0,4.4,6.4
41~50세,217651.0,247153.0,7.1,8.1
31~40세,445532.0,374165.0,14.5,12.2
21~30세,423414.0,472875.0,13.8,15.4
20세 이하,171815.0,215237.0,5.6,7.0
