Date,Closing Price,Opening Price,High,Low,Trading Volume,Change %
01-01-18,"1,069.08","1,067.38","1,077.85","1,055.67",,0.25%
02-01-18,"1,084.21","1,070.12","1,099.04","1,061.85",,1.42%
03-01-18,"1,060.25","1,085.21","1,088.32","1,060.47",,-2.21%
04-01-18,"1,069.33","1,060.56","1,084.95","1,052.78",,0.86%
05-01-18,"1,079.59","1,070.45","1,087.59","1,064.14",,0.96%
06-01-18,"1,113.91","1,080.59","1,126.10","1,065.78",,3.18%
07-01-18,"1,112.25","1,115.01","1,141.11","1,109.25",,-0.15%
08-01-18,"1,115.46","1,113.25","1,138.89","1,104.08",,0.29%
09-01-18,"1,109.98","1,115.65","1,131.77","1,107.14",,-0.49%
10-01-18,"1,141.02","1,110","1,147.18","1,108.39",,2.80%
11-01-18,"1,119.44","1,142.03","1,142.76","1,110.83",,-1.89%
12-01-18,"1,113.30","1,120.56","1,135.65","1,103.93",,-0.55%
01-01-19,"1,111.40","1,114.30","1,134.65","1,108.54",,-0.17%
02-01-19,"1,124.60","1,112.40","1,130.89","1,110.73",,1.19%
03-01-19,"1,136.10","1,125.95","1,140.36","1,123.36",,1.02%
04-01-19,"1,163.25","1,137.02","1,169.69","1,130.82",,2.39%
05-01-19,"1,187.80","1,164.25","1,197.09","1,160.21",,2.11%
06-01-19,"1,155.38","1,188.80","1,191.20","1,151.89",,-2.73%
07-01-19,"1,187.32","1,156.43","1,189.35","1,148.70",,2.76%
08-01-19,"1,209.50","1,188.32","1,224.55","1,185.88",,1.87%
09-01-19,"1,198.09","1,209.77","1,217.50","1,175.31",,-0.94%
10-01-19,"1,169.24","1,199.09","1,207.89","1,159.17",,-2.41%
11-01-19,"1,180.70","1,170.24","1,182.76","1,152.73",,0.98%
12-01-19,"1,154.07","1,181.42","1,196.20","1,152.94",,-2.26%
01-01-20,"1,194.97","1,155.07","1,198.55","1,150.30",,3.54%
02-01-20,"1,200.20","1,195.96","1,222.96","1,176.06",,0.44%
03-01-20,"1,218.30","1,200.21","1,292.93","1,178.81",,1.51%
04-01-20,"1,212.94","1,218.80","1,243.29","1,203.52",,-0.44%
05-01-20,"1,231.49","1,213.94","1,244.89","1,213.10",,1.53%
06-01-20,"1,199.28","1,231.47","1,232.19","1,184.24",,-2.62%
07-01-20,"1,193.59","1,199.44","1,208.74","1,186.27",,-0.47%
08-01-20,"1,187.94","1,194.10","1,197.12","1,176.04",,-0.47%
09-01-20,"1,164.65","1,188.07","1,193.21","1,156.46",,-1.96%
10-01-20,"1,136.49","1,164.75","1,168.28","1,124.69",,-2.42%
11-01-20,"1,109.32","1,136.60","1,147.82","1,101.61",,-2.39%
12-01-20,"1,084.47","1,109.82","1,112.74","1,080.39",,-2.24%
01-01-21,"1,117.64","1,085.69","1,121.76","1,080.02",,3.06%
02-01-21,"1,123.89","1,118.43","1,130.33","1,096.91",,0.56%
03-01-21,"1,127.17","1,124.89","1,145.60","1,102.06",,0.29%
