기준년월,순위,값(%)
2022,1위,YouTube(31.4%)
2022,2위,Facebook(27.8%)
2022,3위,TikTok(12%)
2022,4위,Instagram(9%)
2022,5위,Line(5.6%)
2023,1위,Facebook(32.8%)
2023,2위,YouTube(31%)
2023,3위,TikTok(9.8%)
2023,4위,Line(7.6%)
2023,5위,Twitter(X)(5.2%)
2024,1위,YouTube(28.4%)
2024,2위,Facebook(20.4%)
2024,3위,TikTok(12.9%)
2024,4위,Netflix(11%)
2024,5위,Viu(4.3%)
