기준년월,순위,값(%)
2022,1위,Agoda(24.2%)
2022,2위,Traveloka(15.8%)
2022,3위,Booking.com(15.4%)
2022,4위,Trivago(12.2%)
2022,5위,Expedia(10%)
2023,1위,Agoda(25.6%)
2023,2위,Traveloka(14.6%)
2023,3위,Booking.com(12.4%)
2023,4위,Expedia(9.8%)
2023,5위,Trivago(7.6%)
2024,1위,Agoda(27.1%)
2024,2위,Booking.com(11.6%)
2024,3위,Traveloka(11.2%)
2024,4위,Triip(8.4%)
2024,5위,Expedia(5.8%)
