교통수단,방한 외래관광객(명),비중(%)
기타항구,7070.0,0.4
제주항구,17792.0,1.0
인천항구,6957.0,0.4
부산항구,54476.0,3.0
기타공항,7943.0,0.4
제주공항,18597.0,1.0
김포공항,57201.0,3.2
김해공항,63155.0,3.5
인천공항,1560416.0,87.0
