기준년월,순위,값(%)
2022,1위,YouTube(22%)
2022,2위,Facebook(14.6%)
2022,3위,Instagram(13.4%)
2022,4위,TikTok(10.2%)
2022,5위,Twitter(X)(6.6%)
2023,1위,YouTube(27.6%)
2023,2위,활용 계획 없음(16%)
2023,3위,Facebook(15.4%)
2023,4위,Instagram(13.6%)
2023,5위,TikTok(7.6%)
2024,1위,YouTube(29%)
2024,2위,Instagram(11.8%)
2024,3위,Facebook(9%)
2024,4위,활용 계획 없음(8.2%)
2024,5위,Netflix(7.5%)
