연령대,남성,여성,남성(비율),여성(비율)
61세 이상,134575.0,136813.0,8.2,8.4
51~60세,132667.0,158371.0,8.1,9.7
41~50세,134672.0,115383.0,8.2,7.0
31~40세,176058.0,138938.0,10.8,8.5
21~30세,152120.0,176796.0,9.3,10.8
20세 이하,86240.0,94180.0,5.3,5.8
