연령대,남성,여성,남성(비율),여성(비율)
61세 이상,184433.0,277801.0,3.8,5.7
51~60세,265317.0,487638.0,5.4,9.9
41~50세,297496.0,598956.0,6.1,12.2
31~40세,324936.0,670399.0,6.6,13.7
21~30세,307373.0,827607.0,6.3,16.9
20세 이하,250609.0,413097.0,5.1,8.4
