기준년월,순위,값(%)
2022,1위,YouTube(42.6%)
2022,2위,Facebook(21.4%)
2022,3위,Instagram(10.8%)
2022,4위,TikTok(7%)
2022,5위,Twitter(X)(6.2%)
2023,1위,YouTube(36%)
2023,2위,Facebook(21%)
2023,3위,Instagram(12.8%)
2023,4위,TikTok(11.8%)
2023,5위,WhatsApp(7.2%)
2024,1위,YouTube(30.5%)
2024,2위,Facebook(12.7%)
2024,3위,TikTok(11.6%)
2024,4위,Instagram(10.3%)
2024,5위,Netflix(10.1%)
